qtype,method,params,mrr,ndcg5,ndcg10
python,topics,numtopics=50,0.1866479179744525,0.17577890200518484,0.2631380527675046
python,topics,numtopics=70,0.18601786188170785,0.17841472955767393,0.2688753483375885
python,topics,numtopics=90,0.21252042313695163,0.2172614703394888,0.3110155450526135
python,topics,numtopics=110,0.20772965411184002,0.21138591593122513,0.3035865164541253
python,topics,numtopics=130,0.217404427800172,0.23591947734965257,0.3206693262542409
python,topics,numtopics=150,0.21361052346245932,0.23179591003482275,0.31862444897534836
python,topics,numtopics=170,0.1898632476605862,0.1960483286502209,0.28553809898511
python,topics,numtopics=190,0.23810511113137695,0.26742813666249526,0.34886775388052654
python,topics,numtopics=210,0.2191999302828375,0.23213971294453561,0.31484367371224714
python,topics,numtopics=230,0.2274348207372062,0.2602109272251112,0.3390351334255795
python,qg,"lamda=0.1,c1=0.1,c2=0.7,c3=0.2",0.41651424626534517,0.4577304037871473,0.5126750522585833
python,qg,"lamda=0.4,c1=0.1,c2=0.7,c3=0.2",0.4057222871859652,0.44508338232133215,0.5050714467054775
python,qg,"lamda=0.7,c1=0.1,c2=0.7,c3=0.2",0.3985242945085962,0.4409533127832908,0.4983562781086433
python,qg,"lamda=1,c1=0.1,c2=0.7,c3=0.2",0.3936834252242908,0.43235403241954706,0.487781916071017
python,qg,"lamda=1.3,c1=0.1,c2=0.7,c3=0.2",0.3904730042445036,0.4277419807150902,0.4837177992087247
python,qg,"lamda=1.6,c1=0.1,c2=0.7,c3=0.2",0.3872590923911384,0.42220263322249957,0.4802145626980045
python,qg,"lamda=2,c1=0.1,c2=0.7,c3=0.2",0.3835091833189537,0.4177568715808875,0.47499706342744225
python,qg,"lamda=3,c1=0.1,c2=0.7,c3=0.2",0.3769522790486225,0.41066474592514046,0.46779381004833603
python,qg,"lamda=4,c1=0.1,c2=0.7,c3=0.2",0.3739380719492926,0.40689579202931114,0.46454550709130604
python,qg,"lamda=5,c1=0.1,c2=0.7,c3=0.2",0.36870649988787035,0.40350742895717834,0.4615085529348275
python,qg,"lamda=1,c1=0.34782608695652173,c2=0.5072463768115942,c3=0.14492753623188406",0.3927166388718669,0.4326336641587533,0.49224561096254016
python,qg,"lamda=1,c1=0.24861878453038674,c2=0.22099447513812154,c3=0.5303867403314917",0.39498513726826084,0.4361872733418701,0.49560372565584815
python,qg,"lamda=1,c1=0.3333333333333333,c2=0.21568627450980393,c3=0.45098039215686275",0.3934822596568228,0.4330556071937613,0.4951426200098
python,qg,"lamda=1,c1=0.3582887700534759,c2=0.11764705882352941,c3=0.5240641711229946",0.3902281677513106,0.43003997871545646,0.4934725513703863
python,qg,"lamda=1,c1=0.3170731707317073,c2=0.34959349593495936,c3=0.3333333333333333",0.39697334691670483,0.43597230301856654,0.4969923431402498
python,qg,"lamda=1,c1=0.3225806451612903,c2=0.2,c3=0.4774193548387097",0.39341406037417836,0.4353585795746589,0.4971787964901322
python,qg,"lamda=1,c1=0.36885245901639346,c2=0.03278688524590164,c3=0.5983606557377049",0.3812473785782222,0.4175009259375356,0.48297035191657645
python,qg,"lamda=1,c1=0.010309278350515464,c2=0.8247422680412371,c3=0.16494845360824742",0.39406002534623574,0.4273042475745574,0.4880698990849254
python,qg,"lamda=1,c1=0.4947916666666667,c2=0.06770833333333333,c3=0.4375",0.3831543102508309,0.42286907986656996,0.48657880661560976
python,qg,"lamda=1,c1=0.03804347826086957,c2=0.5108695652173914,c3=0.45108695652173914",0.39997370858933995,0.43897866954427395,0.4962504859187264
python,qg,"lamda=1,c1=0.3448275862068966,c2=0.27155172413793105,c3=0.38362068965517243",0.39468320068901336,0.43402808619927,0.49392457979606946
python,qg,"lamda=1,c1=0.36633663366336633,c2=0.5346534653465347,c3=0.09900990099009901",0.39033670494929407,0.4299081521580979,0.4867607171685078
python,qg,"lamda=1,c1=0.3735632183908046,c2=0.40229885057471265,c3=0.22413793103448276",0.39724391548665855,0.4327809675655361,0.4936205808610461
python,qg,"lamda=1,c1=0.4418604651162791,c2=0.4511627906976744,c3=0.10697674418604651",0.3908394997676959,0.4305999793878542,0.4882588580501925
python,qg,"lamda=1,c1=0.7307692307692307,c2=0.23076923076923078,c3=0.038461538461538464",0.37656033716594145,0.40780615033971657,0.467669391901174
python,qg,"lamda=1,c1=0.3305785123966942,c2=0.2809917355371901,c3=0.3884297520661157",0.3955652713960841,0.4346044937827332,0.4953639565253579
python,qg,"lamda=1,c1=0.1457286432160804,c2=0.4020100502512563,c3=0.45226130653266333",0.3998593721135084,0.4366548735759803,0.4961331688131115
python,qg,"lamda=1,c1=0.013157894736842105,c2=0.9210526315789473,c3=0.06578947368421052",0.38529593042804056,0.41499137528542235,0.4771108145953132
python,qg,"lamda=1,c1=0.7368421052631579,c2=0.24561403508771928,c3=0.017543859649122806",0.3690586492059748,0.3986251485990325,0.46182903576137824
python,qg,"lamda=1,c1=0.06790123456790123,c2=0.43209876543209874,c3=0.5",0.39863714989107496,0.4364822167386172,0.4948465644832435
python,qg,"lamda=1,c1=0.4479166666666667,c2=0.4427083333333333,c3=0.109375",0.3903733058727871,0.43116544426463993,0.4884042788531328
python,qg,"lamda=1,c1=0.27218934911242604,c2=0.2958579881656805,c3=0.4319526627218935",0.3943799287330089,0.4354462702614553,0.49624719929489264
python,qg,"lamda=1,c1=0.3118279569892473,c2=0.3709677419354839,c3=0.3172043010752688",0.39709173482973686,0.4356568381417809,0.4974817504884332
python,qg,"lamda=1,c1=0.42857142857142855,c2=0.19047619047619047,c3=0.38095238095238093",0.3907848223014366,0.43254372890791015,0.49464195738418
python,qg,"lamda=1,c1=0.07975460122699386,c2=0.6134969325153374,c3=0.3067484662576687",0.4007642612781527,0.4376439118417839,0.49508668010948387
python,qg,"lamda=1,c1=0.5771812080536913,c2=0.24161073825503357,c3=0.18120805369127516",0.389682230819927,0.4275091667792651,0.4887204187559374
python,qg,"lamda=1,c1=0.2875816993464052,c2=0.6013071895424836,c3=0.1111111111111111",0.3913799420053838,0.42792293961810307,0.4852537054107383
python,qg,"lamda=1,c1=0.30357142857142855,c2=0.47619047619047616,c3=0.22023809523809523",0.3972395972709353,0.43362247047968777,0.4931260263302143
python,qg,"lamda=1,c1=0.20454545454545456,c2=0.4772727272727273,c3=0.3181818181818182",0.4000859211309268,0.4362338511549118,0.49593927620972333
python,qg,"lamda=1,c1=0.21296296296296297,c2=0.39814814814814814,c3=0.3888888888888889",0.39948898800043076,0.4364391861199189,0.4950178947829755
python,rsj,,0.4122401044445212,0.4600565154626685,0.5327208753441327
python,tfidf,,0.43262207144024856,0.48135930882531974,0.5462419273030981
python,bm25,"k=4.045498719871794,b=0.45716763051012144",0.44470311183174593,0.4954804104696337,0.5637033633403947
python,bm25,"k=2.4887379279045865,b=0.4991264040328369",0.44691381741515523,0.506449640322855,0.5720985163834347
python,bm25,"k=3.871573050618595,b=0.8999329987049526",0.4356385570340297,0.48687662847456586,0.5476544587256651
python,bm25,"k=0.36029924586240913,b=0.5856375621984841",0.43551003113886483,0.4902121654092643,0.5551829073569315
python,bm25,"k=3.6559560525822397,b=0.6229009661007779",0.4458178574986626,0.5023795374790081,0.5673976297304942
python,bm25,"k=3.6325489022565995,b=0.2908030210107043",0.43729552922625026,0.5004099244560091,0.5631502393517118
python,bm25,"k=2.066723773042616,b=0.2901650808285112",0.4413177692407261,0.5039407085843126,0.5670167797851893
python,bm25,"k=3.5066955726914046,b=0.025575851018988516",0.4072948928755429,0.45853358056838694,0.5328602234743919
python,bm25,"k=2.0304644632455697,b=0.04106775403324947",0.4198505547928692,0.47479898775294427,0.5421737972558534
python,bm25,"k=2.8268361110765077,b=0.567699005906398",0.44845359163009874,0.5033776346992986,0.569227670335326
python,bm25,"k=0.10152067421692657,b=0.814606182337182",0.42429546262491347,0.4734243059197937,0.5423148505375219
python,bm25,"k=4.748540074821964,b=0.27616560563165116",0.4322334620799414,0.49167374852895235,0.5546079177794869
python,bm25,"k=0.9764724933552401,b=0.7876382334695279",0.4459817043539988,0.5051305669517232,0.571621420290816
python,bm25,"k=3.2513140792043216,b=0.3629089286802034",0.4425039614983125,0.5009406429847475,0.5662277159396493
python,bm25,"k=3.8962294089026357,b=0.3066074066021013",0.4363888056502621,0.49916729240926594,0.562245068425041
python,bm25,"k=4.3882407344265655,b=0.48271768218086286",0.44329521069674616,0.4946604642070126,0.5621171184011409
